Sl_no,State_name,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
0,Andhra pradesh,Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),21:30,06:00,08h 30m,INR 600,27 Seats available,"4.2
207",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
1,Andhra pradesh,Sri Sahasra Tours and Travels,A/C Seater / Sleeper (2+1),21:00,05:30,08h 30m,INR 560,27 Seats available,"4.0
72",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
2,Andhra pradesh,Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),21:40,06:15,08h 35m,INR 654,19 Seats available,"4.4
291",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
3,Andhra pradesh,V Kaveri Travels,Scania AC Multi Axle Sleeper (2+1),21:30,05:45,08h 15m,INR 1200,21 Seats available,"4.2
256",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
4,Andhra pradesh,Cherry tours&travels,Non A/C Seater / Sleeper (2+1),21:50,06:00,08h 10m,475,25 Seats available,"4.0
15",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
5,Andhra pradesh,V Kaveri Travels,A/C Sleeper (2+1),22:00,06:15,08h 15m,INR 1000,26 Seats available,"4.1
73",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
6,Andhra pradesh,Kaveri Travels,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),21:30,05:45,08h 15m,INR 1000,26 Seats available,"4.3
146",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
7,Andhra pradesh,LUCKY TRAVELS,A/C Sleeper (2+1),22:45,06:05,07h 20m,INR 1199,27 Seats available,"4.0
18",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
8,Andhra pradesh,Cherry tours&travels,Non A/C Seater / Sleeper (2+1),21:50,06:00,08h 10m,808,28 Seats available,"4.1
93",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
9,Andhra pradesh,Mozo travels,A/C Sleeper (2+1),22:00,04:50,06h 50m,INR 1200,15 Seats available,"4.4
13",https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
